type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,additional_info2,url,slides,video,short_cv,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
current_positions,NA,9/1/2021,present,Lecturer in Data Analytics,NA,NA,NA,"School of Business, SUNY Geneseo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
education,NA,8/26/2018,5/21/2022,Bachelors in Business Administration,NA,NA,NA,SUNY Geneseo,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
Experiences,NA,Summer 2021,NA,Licenced Sales Associate,NA,NA,NA,Stephanie Sgroi State Farm Agency,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
Experiences,NA,Spring 2022,NA,Directed Study,NA,NA,NA,"Suny Geneseo Data Analytics Capstone Course, SUNY Geneseo",NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
Experiences,NA,Spring 2020,NA,Directed Study,NA,NA,NA,"Market Research, SUNY Geneseo ",NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
Experiences,NA,5/1/2018,8/15/2020,Waitress,NA,NA,NA,Setauket Villiage Diner,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
Experiences,NA,6/1/2019,8/10/2019,Camp Counselor,NA,NA,NA,Furture Stars Summer Camp,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
College Activities,NA,Fall 2018,Present,Student Athlete,NA,NA,NA,"Women's Volleyball, SUNY Geneseo",NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
College Activities,NA,Spring 2022,NA,Peer Advisor,NA,NA,NA,SUNY Geneseo School of Business Peer Advisor Program,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
College Activities,NA,Fall 2019,Spring 2021,Women's Volleyball Representative/Social Media Committee,NA,NA,NA,SUNY Geneseo Student Athlete Advisory Committee (SAAC),NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
College Activities,NA,Fall 2018,Spring 2022,Certificate Recipient,NA,NA,NA,Geneseo Opportunities for Leadership Development Program,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
College Activities,NA,Fall 2021,Spring 2022,Work Study,NA,NA,NA,SUNY Geneseo Event Manager,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
